case_id,user_id,user_email,device_id,amount,currency,created_at,region,status,outcome,outcome_note
CASE-00034,usr-217308,dakota.nguyen10@inbox.test,dev-8babce3b,41.94,VND,2026-04-05T18:35:00Z,APAC-VN,open,,
CASE-00149,usr-345369,priya.novak69@inbox.test,dev-4f3949a8,917.59,JPY,2026-07-20T15:57:00Z,APAC-JP,open,,
CASE-00004,usr-865179,santiago.smith59@mail.example,dev-f91e1d4c,876.8,GBP,2026-01-21T17:18:00Z,EU-GB,open,,
CASE-00171,usr-871411,morgan.nguyen24@notreal.dev,dev-848af440,372.54,EUR,2026-05-24T03:16:00Z,EU-FR,open,,
CASE-00038,usr-956253,jamie.dubois59@webmail.sample,dev-4e20fd1a,780.95,USD,2026-02-28T07:01:00Z,US-CA,open,,
CASE-00111,usr-163491,kai.silva51@webmail.sample,dev-30974b2b,920.05,GBP,2026-04-27T02:42:00Z,EU-GB,open,,
CASE-00200,usr-603110,hayden.tran45@webmail.sample,dev-49ac9087,122.81,EUR,2026-06-23T17:24:00Z,EU-DE,open,,
CASE-00190,usr-201377,morgan.garcia51@webmail.sample,dev-cb7e6268,937.55,BRL,2026-05-23T11:48:00Z,LATAM-BR,open,,
CASE-00128,usr-736565,skyler.haddad57@notreal.dev,dev-45ee432d,211.07,EUR,2026-05-12T03:22:00Z,EU-FR,open,,
CASE-00219,usr-858414,emerson.patel3@notreal.dev,dev-41241bb4,777.1,BRL,2026-07-10T06:37:00Z,LATAM-BR,open,,
CASE-00220,usr-544278,taylor.smith45@mail.example,dev-8a89b0f0,944.46,VND,2026-01-18T15:02:00Z,APAC-VN,open,lost,Status/outcome mismatch canary
CASE-00215,usr-651033,santiago.johnson58@webmail.sample,dev-13fe8a29,872.04,SGD,2026-01-29T01:53:00Z,APAC-SG,resolved,maybe,Invalid outcome value canary
CASE-00117,usr-847006,morgan.haddad57@mail.example,dev-e63658c9,84.1,SGD,2026-06-05T04:04:00Z,APAC-SG,open,,
CASE-00073,usr-831295,dakota.patel17@notreal.dev,dev-1a432f0a,830.1,VND,2026-05-27T09:30:00Z,APAC-VN,resolved,won,Customer provided proof of delivery.
CASE-00196,usr-539122,emerson.tran20@notreal.dev,dev-b0c4a01c,200.07,USD,2026-05-09T19:58:00Z,US-NY,open,,
CASE-00094,usr-753534,drew.tran89@notreal.dev,dev-a65bb1f2,83.66,USD,2026-03-26T21:54:00Z,US-NY,open,,
CASE-00085,usr-221552,drew.tran99@notreal.dev,dev-dd6ac7b8,492.75,VND,2026-01-01T21:55:00Z,APAC-VN,resolved,won,Merchant evidence insufficient.
CASE-00041,usr-843215,drew.smith56@mail.example,dev-85197ff4,879.89,VND,2026-05-18T21:46:00Z,APAC-VN,resolved,fraud_confirmed,Cardholder confirmed unauthorized use.
CASE-00180,usr-790731,casey.müller80@webmail.sample,dev-d7b00bdc,878.34,BRL,2026-01-11T00:05:00Z,LATAM-BR,open,,
CASE-00164,usr-386488,jordan.tran16@webmail.sample,dev-6fdc0bad,845.9,GBP,2026-07-10T14:57:00Z,EU-GB,open,,
CASE-00162,usr-166165,santiago.garcia92@notreal.dev,dev-0977c513,284.42,JPY,2026-01-12T06:56:00Z,APAC-JP,open,,
CASE-00122,usr-470774,morgan.kowalski86@notreal.dev,dev-de3b496f,870.72,VND,2026-01-14T09:38:00Z,APAC-VN,open,,
CASE-00055,usr-938722,noor.nakamura78@inbox.test,dev-7cfc9b79,214.7,SGD,2026-04-22T15:01:00Z,APAC-SG,open,,
CASE-00135,usr-468154,sam.silva94@inbox.test,dev-3c7c1d85,104.84,USD,2026-03-07T06:11:00Z,US-NY,open,,
CASE-00112,usr-153035,finley.nguyen43@inbox.test,dev-fd235def,126.62,EUR,2026-05-25T06:04:00Z,EU-DE,open,,
CASE-00081,usr-617781,parker.nakamura57@mail.example,dev-9918ee46,45.55,SGD,2026-04-21T23:20:00Z,APAC-SG,open,,
CASE-00156,usr-653408,noor.costa55@mail.example,dev-c6b33fe6,279.39,USD,2026-03-19T03:03:00Z,US-TX,open,,
CASE-00120,usr-427730,noor.lee55@webmail.sample,dev-aa448259,248.11,JPY,2026-02-09T21:59:00Z,APAC-JP,open,,
CASE-00182,usr-773088,dakota.patel39@notreal.dev,dev-3eb05181,766.02,JPY,2026-06-25T12:19:00Z,APAC-JP,open,,
CASE-00152,usr-900185,reese.johnson21@webmail.sample,dev-73069588,860.8,VND,2026-02-07T13:05:00Z,APAC-VN,open,,
CASE-00161,usr-146489,avery.garcia46@webmail.sample,dev-d0421dfa,613.51,BRL,2026-07-19T21:29:00Z,LATAM-BR,open,,
CASE-00022,usr-360735,santiago.lee25@inbox.test,dev-894a05e4,430.59,SGD,2026-04-19T05:17:00Z,APAC-SG,open,,
CASE-00132,usr-703727,taylor.tran55@notreal.dev,dev-b5a1b949,611.01,USD,2026-03-16T03:25:00Z,US-CA,open,,
CASE-00176,usr-177333,skyler.ivanov17@webmail.sample,dev-a4704d48,77.86,VND,2026-04-30T21:33:00Z,APAC-VN,open,,
CASE-00155,usr-570392,casey.haddad79@mail.example,dev-e7e646c7,82.63,JPY,2026-03-07T06:53:00Z,APAC-JP,open,,
CASE-00044,usr-674553,reese.andersson1@webmail.sample,dev-49732d6c,205.99,USD,2026-05-29T19:41:00Z,US-TX,open,,
